ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability,ph_category,ph_category_encoded
0.493560368095855,0.5482239960002228,0.4646524261954228,0.5259742764557631,0.762535617270578,0.8043347884954908,0.2785765179813761,0.7497042763942432,0.2589672406306236,0,Neutral,2
0.6608540868499343,0.6716885159721336,0.4446371646065163,0.7791024055124993,0.49191775982813457,0.48121065504721655,0.6388503502785519,0.49626059758519486,0.2810033287942014,0,Neutral,2
0.6951265315015215,0.6087439138409644,0.4925060555738791,0.6232347424027496,0.6737345089488098,0.35848387387438657,0.7259025285096108,0.9141917387319094,0.6544923294135119,0,Neutral,2
0.8172392853507412,0.3964034338061514,0.40081592599118804,0.42941958714496736,0.31678024892194534,0.43642334076147177,0.34400893665130955,0.07216282096195131,0.5230107697922326,0,Alkaline,1
0.26480642102439744,0.44242908479919063,0.6452749332241288,0.5573203479616338,0.44308849102661485,0.17486151486047313,0.1686403635853913,0.3545472656322098,0.16316861393678173,0,Acidic,0
0.9954405487097352,0.8238060293737871,0.6452982858235177,0.5532895706981389,0.9545406648678507,0.18192204160619346,0.46790150177967155,0.7202901181196306,0.19006843252087013,0,Alkaline,1
0.7453731020474229,0.5384663779817241,0.3030547037482262,0.17527678386491868,0.2646618099181737,0.6054049651071776,0.3887339374994449,0.45163838220332303,0.6005063314263024,0,Alkaline,1
0.493560368095855,0.0,0.31698022143657395,0.5905431394105953,0.0,0.41638588291140993,0.40773534117626603,0.3423620845752599,0.4090151693400462,0,Neutral,2
0.5445636173872629,0.296967652654586,0.729349523873934,0.5580675738679459,0.44267611153462383,0.49624045783251686,0.5676808413005026,0.6480483168090831,0.42499033220098703,0,Neutral,2
0.6412326918315031,0.6363134670381191,0.41871777506697855,0.6297756714244203,0.49191775982813457,0.36032836570109544,0.5087684556767587,0.6202766031075022,0.5079658132939232,0,Neutral,2
0.5066419154264247,0.24070537462165065,0.4178814835275197,0.052667000601547165,0.10458181885301343,0.32399535510159844,0.5867096284507007,0.6574212998646936,0.37357136083207787,0,Neutral,2
0.493560368095855,0.19903060347151225,0.6131033771588739,0.4667831374505588,0.23492995076882872,0.3950655228017201,0.7777757269734598,0.6205733345280808,0.6034863533358183,0,Neutral,2
0.5659155592447515,0.5511247759022538,0.6370878750387962,0.24056151990809987,0.49191775982813457,0.5389576237857925,0.436732354138795,0.5440656511020463,0.6897819877302065,0,Neutral,2
0.3849866092258064,0.4323427296089347,0.924845438155342,0.8244209804568638,0.7317747896081932,0.6988491179548335,0.3429818775962163,0.6028517830274711,0.5945516329498282,0,Acidic,0
0.4959277523443054,0.5875302911061097,0.6959366208244336,0.8840235636417035,0.49191775982813457,0.25175656556019416,0.8347531680743379,0.37590784822033146,0.568924866347819,0,Neutral,2
0.8313072790589798,0.9880913958535177,0.5384236040928277,0.4753374013790948,0.9903283369558542,0.6128719502430402,0.4455619924593262,0.5583223222885023,0.6247835176746455,0,Alkaline,1
0.5462029305097956,0.6095302781722322,0.5744918126613764,0.1585773662625129,0.5123872352134242,0.5949970972158583,0.39680390008658445,0.45162566977608704,0.16330893500750887,0,Neutral,2
0.493560368095855,0.6921031208512659,0.4990240076238294,0.9146604717501705,0.49191775982813457,0.7832920029649388,0.609038190872788,0.2370706411500078,0.5368660180755638,0,Neutral,2
0.4342658979918107,0.31460073976073033,0.6951140809489988,0.34129293535221034,0.3228512507948347,0.7142133700744338,0.6952383483456956,0.6271318187629145,0.44574675872384806,0,Neutral,2
0.493560368095855,0.6189835737046357,0.3810279956861741,0.3090433740302316,0.44511654532546174,0.520352997090149,0.4900751310127272,0.4153811812162486,0.8516998873288606,0,Neutral,2
0.0,0.4972497950930984,0.4731912760004176,0.487037792276602,0.49191775982813457,0.5385884438475519,0.6244366420039278,0.7890153900198547,0.6306872747048873,0,Acidic,0
0.23586547583161888,0.13881113307116433,0.3846454808896705,0.8791621415669664,0.45591489586007183,0.6015604252462305,0.3272469550222595,0.3793613195053556,0.7010386498032593,0,Acidic,0
0.411306982357755,0.5091464717320574,0.4743535161034426,0.7015950849874157,0.4195563279673711,0.4694218937048528,0.5295477610457018,0.6616973107372797,0.7903478036851956,0,Neutral,2
0.493560368095855,0.17090686223230833,0.2929048083782395,0.6036463836932457,0.2699471437881984,0.2159393971550762,0.4090387607463524,0.2882504481652131,0.5063399154097743,0,Neutral,2
0.493560368095855,0.9409107721691431,0.5911219546369366,0.5772042885179198,0.9677199515993147,0.3611752521962159,0.2768646473533211,0.3310214948462534,0.5031800368590937,0,Neutral,2
0.493560368095855,0.18612712237990403,0.3375868398871551,0.7497558173345626,0.292927929249835,0.8032172659983721,0.6221947995112627,0.3269286672304384,0.989174723742474,0,Neutral,2
0.5163459928862698,0.5784435937379214,0.33765077128808735,0.35870601110134964,0.5321015746134399,0.31156794528324067,0.14214882442720034,0.5593152449253891,0.7637461001397938,0,Neutral,2
0.932708124606641,0.45802213980750694,0.43937901048787353,0.45644585796508336,0.49191775982813457,0.5571225344369526,0.6405382659503271,0.2580051073680483,0.23387630199631526,0,Alkaline,1
